Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 4, 0.4, -0.3999999999999999
Query 2, 0, 0.0, 0
Query 3, 1, 0.1, 0
Query 4, 3, 0.3, -0.25
Query 5, 4, 0.4, -0.8
Query 6, 4, 0.4, -1.9
Query 7, 0, 0.0, 0
Query 8, 0, 0.0, 0
Query 9, 3, 0.3, -5.5
Query 10, 2, 0.2, -1.0
Query 11, 3, 0.3, 0.25
Query 12, 4, 0.4, -1.1
Query 13, 0, 0.0, 0
Query 14, 3, 0.3, -13.75
Query 15, 5, 0.5, -0.5
Query 16, 2, 0.2, -4.0
Query 17, 3, 0.3, -3.5
Query 18, 0, 0.0, 0
Query 19, 4, 0.4, -0.3999999999999999
Query 20, 4, 0.4, -3.7
Query 21, 2, 0.2, -25.0
Query 22, 2, 0.2, -36.0
Query 23, 7, 0.7, 0.7678571428571428
Query 24, 3, 0.3, -11.5
Query 25, 2, 0.2, 0.0
Query 26, 3, 0.3, -4.5
Query 27, 4, 0.4, -4.3
Query 28, 1, 0.1, 0
Query 29, 1, 0.1, 0
Query 30, 5, 0.5, -3.25
Query 31, 4, 0.4, -3.0999999999999996
Query 32, 1, 0.1, 1
Query 33, 1, 0.1, 1
Query 34, 4, 0.4, -3.2
Query 35, 4, 0.4, -0.6000000000000001
Query 36, 4, 0.4, -4.2
Query 37, 4, 0.4, 0.8
Query 38, 5, 0.5, 0.9
Query 39, 6, 0.6, -0.6857142857142857
Query 40, 3, 0.3, -3.5
Query 41, 3, 0.3, -2.25
Query 42, 1, 0.1, 0
Query 43, 1, 0.1, 0
Query 44, 4, 0.4, -5.6
Query 45, 6, 0.6, -2.085714285714286
Query 46, 6, 0.6, 0.4571428571428572
Query 47, 4, 0.4, -7.5
Query 48, 0, 0.0, 0
Query 49, 2, 0.2, -12.0
Query 50, 4, 0.4, -5.8
Query 51, 1, 0.1, 0
Query 52, 3, 0.3, -11.5
Query 53, 2, 0.2, -3.0
Query 54, 3, 0.3, -0.25
Query 55, 4, 0.4, -3.9000000000000004
Query 56, 2, 0.2, -1.0
Query 57, 4, 0.4, -0.8999999999999999
Query 58, 5, 0.5, -2.0
Query 59, 5, 0.5, 0.5
Query 60, 4, 0.4, -4.8
Query 61, 4, 0.4, -4.0
Query 62, 4, 0.4, -1.7999999999999998
Query 63, 3, 0.3, -14.25
Query 64, 1, 0.1, 0
Query 65, 0, 0.0, 0
Query 66, 1, 0.1, 0
Query 67, 3, 0.3, -4.25
Query 68, 6, 0.6, -0.11428571428571432
Query 69, 0, 0.0, 0
Query 70, 4, 0.4, -1.4
Query 71, 6, 0.6, 0.22857142857142854
Query 72, 1, 0.1, 0
Query 73, 2, 0.2, -48.0
Query 74, 4, 0.4, -6.8
Query 75, 2, 0.2, -1.0
Query 76, 2, 0.2, -49.0
Query 77, 0, 0.0, 0
Query 78, 3, 0.3, -15.25
Query 79, 4, 0.4, -7.9
Query 80, 2, 0.2, -12.0
Query 81, 0, 0.0, 0
Query 82, 4, 0.4, -1.7000000000000002
Query 83, 4, 0.4, -0.7
Query 84, 0, 0.0, 0
Query 85, 1, 0.1, 0
Query 86, 1, 0.1, 0
Query 87, 2, 0.2, -3.0
Query 88, 3, 0.3, -1.75
Query 89, 4, 0.4, -1.0
Query 90, 3, 0.3, 0.5
Query 91, 1, 0.1, 1
Query 92, 3, 0.3, 0.0
Query 93, 2, 0.2, -16.0
Query 94, 3, 0.3, -3.75
Query 95, 1, 0.1, 0
Query 96, 3, 0.3, -0.25
Query 97, 0, 0.0, 0
Query 98, 5, 0.5, -1.0
Query 99, 4, 0.4, -0.30000000000000004
Query 100, 5, 0.5, -0.1499999999999999
Averages, 2.799999999999999, 0.2800000000000002, -3.8718214285714287
